Name	Position	Running	Party	Twitter	Href	State
Kay Ivey	Governor	True	Republican	https://www.twitter.com/kayiveyforgov	https://ballotpedia.org/Kay_Ivey	Alabama
Yolanda Flowers	Governor	True	Democratic	https://www.twitter.com/Yolandaforgov	https://ballotpedia.org/Yolanda_Flowers	Alabama
Chad Chig Martin	Governor	False	Democratic	https://www.twitter.com/chadchig	https://ballotpedia.org/Chad_Chig_Martin	Alabama
Lynda Blanchard	Governor	False	Republican	https://www.twitter.com/Blanchard4Gov	https://ballotpedia.org/Lynda_Blanchard	Alabama
Lew Burdette	Governor	False	Republican	https://www.twitter.com/VoteLEWin22	https://ballotpedia.org/Lew_Burdette	Alabama
Dean Odle	Governor	False	Republican	https://www.twitter.com/PastorDean67	https://ballotpedia.org/Dean_Odle	Alabama
Stacy George	Governor	False	Republican	https://www.twitter.com/georgestacylee	https://ballotpedia.org/Stacy_George	Alabama
Jim Zeigler	Secretary of State	False	Republican	https://www.twitter.com/jimzeigler	https://ballotpedia.org/Jim_Zeigler	Alabama
Walt Maddox	Governor	False	Democratic	https://www.twitter.com/waltmaddox	https://ballotpedia.org/Walt_Maddox	Alabama
Sue Bell Cobb	Governor	False	Democratic	https://www.twitter.com/suebellcobb	https://ballotpedia.org/Sue_Bell_Cobb	Alabama
Bill Hightower	U.S. House	False	Republican	https://www.twitter.com/BillHightowerAL	https://ballotpedia.org/Bill_Hightower	Alabama
Kim Lewis	State Senate	True	Democratic	https://www.twitter.com/kimlewis4sd2	https://ballotpedia.org/Kim_Lewis	Alabama
Tom Butler	State Senate	True	Republican	https://www.twitter.com/senbutler	https://ballotpedia.org/Tom_Butler	Alabama
Arthur Orr	State Senate	True	Republican	https://www.twitter.com/SenatorAOrr	https://ballotpedia.org/Arthur_Orr	Alabama
Garlan Gudger	State Senate	True	Republican	https://www.twitter.com/GarlanGudgerJr	https://ballotpedia.org/Garlan_Gudger	Alabama
Greg Reed	State Senate	True	Republican	https://www.twitter.com/SenatorGregReed	https://ballotpedia.org/Greg_Reed	Alabama
Larry Stutts	State Senate	True	Republican	https://www.twitter.com/Larry_Stutts	https://ballotpedia.org/Larry_Stutts	Alabama
Kyle Richard-Garrison	State Senate	True		https://www.twitter.com/KyleforALSenate	https://ballotpedia.org/Kyle_Richard-Garrison	Alabama
Korey Wilson	State Senate	True	Democratic	https://www.twitter.com/korey_acts	https://ballotpedia.org/Korey_Wilson	Alabama
Sam Givhan	State Senate	True	Republican	https://www.twitter.com/Sam_Givhan	https://ballotpedia.org/Sam_Givhan	Alabama
