Date	Name	Source	Tweets	TweetCount	SusDomainTweets	SusUserTweets	PeakIQR
20220302	Andrew Giuliani	SusDomain	The Republican party needs an outsider who works and cares for we the people!; Andrew Giuliani gives fiery speech at state GOP convention	97.0	28.0	2.0	4.0
20220302	Henry McMaster	SusDomain	what will SC do to stop this blatant totalitarian reach😤; It's time to wean the dependency on China	491.0	18.0	9.0	4.0
20220302	Kandiss Taylor	SusDomain	"Trump's campaign was bleeding supporters' bank accounts dry with his recurring payment scheme.; December 2021 ""Right wing group Wisconsin Institute for Law &amp; Liberty recently released the results of a 10 month investigation of approximately 20 thousand ballots and nearly 30 thousand absentee ballot envelopes."" THEY FOUND NOTHING.; December 2021 ""Right wing group Wisconsin Institute for Law &amp; Liberty recently released the results of a 10 month investigation of approximately 20 thousand ballots and nearly 30 thousand absentee ballot envelopes."" THEY FOUND NOTHING."	1062.0	5.0	11.0	4.0
20220302	Kim Reynolds	SusDomain	No doubt...a POS American traitor. A cowardly weasel...; 💥This is just embarrassing for Kim ReynoldsI thought weed was illegal in? You sure you weren't high for that presser tonite?via; No doubt...to America.; Kim Reynolds began GOP's SOTU response with iPhone going off — and it just got worse from there: reportsantics last night just further proves that theis DEAD and; and you’ll go for the federal dollars. Except at the capitol; We voted Biden in &amp; got rid of POS trump. So far, even with all the issues in today's world, Biden is doing a good job. Yes, we are happy with Biden.; Under the leadership of Gov., Republicans have delivered the largest tax cut in Iowa’s history. This pro-growth tax package will streamline the Hawkeye State’s income tax and leave more money in the pockets of taxpayers.; 💥This is just embarrassing for Kim ReynoldsI thought weed was illegal in? You sure you weren't high for that presser tonite?via; In GOP response, Iowa Gov․says Republicans working to fill Biden’s leadership voidvia; Court orders release of hundreds of migrants jailed under Greg Abbott's Operation Lone Star scheme	31347.0	43.0	140.0	4.0
20220302	Ron DeSantis	SusDomain	"Of COURSEwants that RUSSIAN moneyHe also WUSHES he were Putin...just likeDeSantis refuses to divest Florida of $300 million in Russian investments – but criticizes Biden over Russia and Ukraine; can’t divest…has anyone, literally anyone, investigatedforeign investments &amp; how they benefit it’s leaders? DeSantis refuses to divest Florida of $300 million in Russian investments – but criticizes Biden over Russia and Ukraine; .is sorry AF, but at least this clownis worse.; White children, we were told, were innocents and needed protection. Isn't that right; can’t divest…has anyone, literally anyone, investigatedforeign investments &amp; how they benefit it’s leaders? DeSantis refuses to divest Florida of $300 million in Russian investments – but criticizes Biden over Russia and Ukraine; Okay, fine. But why didn'tgive the response? Kim Reynolds Declares ‘Parents Matter‘ in SOTU Response Speechvia; Sosays Biden not doing anything to hurt Putin- a lie- while HE refuses to divest from Russian investments HYPOCRITE!! DeSantis refuses to divest Florida of $300 million in Russian investments – but criticizes Biden over Russia and Ukraine; Sosays Biden not doing anything to hurt Putin- a lie- while HE refuses to divest from Russian investments HYPOCRITE!! DeSantis refuses to divest Florida of $300 million in Russian investments – but criticizes Biden over Russia and Ukraine; .: ""We've gotta stop with this COVID theater.""; Deadly Angry GOP White Males. Keep a safe distance."	15939.0	39.0	50.0	3.0
20220303	Richard Michael DeWine	SusDomain	median householdlags US by 11%. Ohioans age 25+ w/ a collegelags by 12%. OH has now lost another seat in the House of Representatives. No population growth.rule/brain drain/weak economy.; Following passage of extreme legislation that would put Ohioans &amp; law enforcement at risk of increased gun violence,needs to decide if he’ll keep his promises to ‘do something’ &amp; veto this dangerous bill or cave once again to his own party.; Following passage of extreme legislation that would put Ohioans &amp; law enforcement at risk of increased gun violence,needs to decide if he’ll keep his promises to ‘do something’ &amp; veto this dangerous bill or cave once again to his own party.	626.0	3.0	9.0	1.5
20220303	Rob Astorino	SusDomain	"NY is literally a sh$thole thanks to the left's insane laws.; Here's more, kathy""They"" (your sources) were wrong again...as many of us said."	136.0	2.0	1.0	4.0
20220304	Jumaane Williams	SusDomain	"This says it all: ""State Democrats honor slain NYPD cops -- but won't fix controversial bail law."" The enemies of public safety include,,,,,, etc.via; Top NYC officials call for student COVID-19 vaccine mandate by next school yearviaKnow your enemy; This says it all: ""State Democrats honor slain NYPD cops -- but won't fix controversial bail law."" The enemies of public safety include,,,,,, etc.via; Top NYC officials call for student COVID-19 vaccine mandate by next school yearviaKnow your enemy; Keep voting for democrat thugs; Keep voting for democrat thugs"	280.0	6.0	5.0	1.5
20220304	Stacey Abrams	SusDomain	"NEW Editor's Choice!→📖 Level Up: Rise Above the Hidden Forces Holding Your Business Back by,, withGenre:&amp;/Start reading our review in the thread below⤵️; Texas Sees Higher Voter Turnout After Election Integrity LawviaImagine that. Evillaw increasedand turn out.; Bueller....Bueller?; Bueller....Bueller?; Bueller....Bueller?; Critics Blast Stacey Abrams for Comparing Herself to Ukraine's Zelenskyy |via; Whereas if you’re so anxious to have every next step planned out, then you’re not open to opportunities. You’re not even noticing them."" –&amp;Keep reading:; This Buffet wrecker comparing herself to Ukrainian President Zelensky is absolutely ridiculous! 🤣🤣🤣 .is a lunatic; .yawns asabsurdly compares herself to"	1433.0	9.0	12.0	1.5
20220305	Lee Zeldin	SusDomain	Shocking discrepancies bw whatsays &amp; how he votes.;  ,,,,,,:sees that NYC crime is unacceptable, but change depends on opposing so-called “progressive reforms” of, etc.via; Disagree.is here trying to whip up culture wars &amp; deflect from his participation in an attempt to overturn our election to support the man impeached for trying to extort Ukraine. NY won’t elect a traitor.; Shocking discrepancies bw whatsays &amp; how he votes.; It’s over. Has been for a long time.	1187.0	7.0	12.0	1.5
20220306	Kristi L. Noem	SusDomain	"Meanwhile in Trumpland: ""we should take our F-22 planes, 'put the Chinese flag on them and bomb the shit out' out of Russia. 'then we say, China did it, we didn't do, China did it, and then they start fighting with each other and we sit back and watch.'"" ; You’ve got the right idea!; Tell the oil producers who like the high prices and are saying they don’t intend to increase production. Read and weep.; Meanwhile in Trumpland: ""we should take our F-22 planes, 'put the Chinese flag on them and bomb the shit out' out of Russia. 'then we say, China did it, we didn't do, China did it, and then they start fighting with each other and we sit back and watch.'"" ; Tell the oil producers who like the high prices and are saying they don’t intend to increase production. Read and weep.; Energy independence; So says the Party of Lies &amp; Fox News that lies 60% of the time?Study Finds Republicans Lie Three Times More Than Democratsvia; Meanwhile in Trumpland: ""we should take our F-22 planes, 'put the Chinese flag on them and bomb the shit out' out of Russia. 'then we say, China did it, we didn't do, China did it, and then they start fighting with each other and we sit back and watch.'"" ; It’s because the oil producers are choosing not to increase supply. Plain and simple. Read this.; You’ve got the right idea!"	7261.0	10.0	17.0	4.0
20220307	Andrew Giuliani	SusDomain	There’s the Right Way, the Wrong Way, and then…there’s the ROCKAWAY!	211.0	43.0	5.0	4.0
20220307	David Perdue	SusDomain	Marjorie Taylor Greene won't deny being 'pro-Putin' during argument with Ukraine expert Alexander Vindman; Marjorie Taylor Greene won't deny being 'pro-Putin' during an argument with Ukraine expert Alexander Vindman; George Will pens brutal obit for Trump's political career: 'A stray orange hair to be flicked off the nation’s sleeve'; WHO DOES HE SOUND LIKE? Trump just endorsed an Oath Keeper’s plan to seize control of the Republican Party Created by a man who has self-identified w/the Oath Keeper militia, that aims to have Trump supporters consolidate control of the Republican Party; This Vernon Jones? 😂😂😂Better make sure he gets top billing so he doesn’t throw a trump sized hissy fit and run out the door!; WHO DOES HE SOUND LIKE? Trump just endorsed an Oath Keeper’s plan to seize control of the Republican Party Created by a man who has self-identified w/the Oath Keeper militia, that aims to have Trump supporters consolidate control of the Republican Party; Marjorie Taylor Greene won't deny being 'pro-Putin' during argument with Ukraine expert Alexander Vindman	648.0	7.0	4.0	3.0
20220307	Kathy Hochul	SusDomain	HYPOCRITE CORRUPT EVERYTHING IS A LIE; Our movement is heating up, andis making its way around town! Governorhas long championedand women in tech. I'm proud to have her support when it comes to fighting for women in the workforce.; It’s Past Time For The Travel Mask Mandate To End, But Will It?; Are you serious?; Hypocritehas taken $70k from a Soviet-born oil tycoon with close ties to US-sanctioned Russian oligarchs. She must immediately return the dirty money &amp; send an unequivocal signal that she stands with Ukraine. The state is watching.; Thanks for looping us in! Good afternoon, you may report these conditions by using the link provided, or you can send us a DM for further assistance. Thank you!; Hypocritehas taken $70k from a Soviet-born oil tycoon with close ties to US-sanctioned Russian oligarchs. She must immediately return the dirty money &amp; send an unequivocal signal that she stands with Ukraine. The state is watching.; Just another cult that endorses body mutilation.; Thanks for looping us in! Good afternoon, you may report these conditions by using the link provided, or you can send us a DM for further assistance. Thank you!; HYPOCRITE CORRUPT EVERYTHING IS A LIE	1356.0	11.0	15.0	3.0
20220307	Stacey Abrams	SusDomain	It’s all about Stacey ~ ~likens her activism to the ‘Plight of Ukraine’	609.0	20.0	4.0	4.0
20220310	David Perdue	SusDomain	"Really rich' billionaire Donald Trump hocking supporters to pay for 'brand new' Trump Force One Hilarious.; ... Georgians so that Republican legislators could substitute their will for the will of the people. You did so for no other reason than you didn’t like the outcome."" Couldn't have said it better."	1299.0	6.0	2.0	1.5
20220310	Greg Abbott	SusDomain	. :has abandoned his oath of office—but Texas is not going to stand idly by “we're going to do everything we can to secure our border...” 🚨 LIVE:; . :; 🚨 LIVE NOW:,, Former Acting DEA Administrator Uttam Dhillon, and Former Acting CBP Commissioner Mark Morgan on Biden's border crisis; GREAT NEWS United Airlines To Let Workers Who Didn’t Get COVID Vaccine Return To Work.; 🚨 LIVE NOW:,, Former Acting DEA Administrator Uttam Dhillon, and Former Acting CBP Commissioner Mark Morgan on Biden's border crisis; . :; GREAT NEWS United Airlines To Let Workers Who Didn’t Get COVID Vaccine Return To Work.; The fentanyl crisis is spiraling out of control—devastating families and communities across the country. Yet the Biden administration has done nothing to stop the flow of drugs across the Southern border.LIVE now:; '. :- Tweeted by:	4901.0	206.0	59.0	4.0
20220310	Jumaane Williams	SusDomain	Stick to edibles and Knicks The Criminal Advocate has zero credibility on policy; Jumaane is a joke !; Sickening woke divisiveness laid bare These are bad people; JU gotta be kidding if you think you'll be elected governor JU must be a dotard if you think acting on behalf of Putin will make the good voters of NY State stomach your woke BS JU should go away; JU gotta be kidding if you think you'll be elected governor JU must be a dotard if you think acting on behalf of Putin will make the good voters of NY State stomach your woke BS JU should go away; Jumaane is a joke !	154.0	7.0	4.0	1.5
20220310	Kim Reynolds	SusDomain	Hmmm...call your office:	1922.0	8.0	20.0	3.0
20220310	Michelle Lujan Grisham	SusDomain	You people have selective memories. We had 8 years of Susanna Martinez, La Tejana! Remember when she cut funding to Behavioral Health? Remember when she cut funding to schools, CYFD, and children died horrible deaths from Abuse.; You people have selective memories. We had 8 years of Susanna Martinez, La Tejana! Remember when she cut funding to Behavioral Health? Remember when she cut funding to schools, CYFD, and children died horrible deaths from Abuse.; We’re all on the same page then because we the people don’t have any confidence ineither.	394.0	3.0	4.0	1.5
20220310	Steve Sisolak	SusDomain	We love to share good news when we can! Today, the Biden EPA cleared all remaining roadblocks and restored state's authority to cut pollution from cars &amp; trucks under the! Now NV can adopt'sprogram:; Democratic incumbentfiled his paperwork Monday in Las Vegas to run for a second term.; ICYMI: Yesterday,andvisited the TMCC William N. Pennington Health Science Center. Read all about their visit 👉; 🚗 94% of Nevadans live in places with unhealthy air pollution, according to. Withrestored, NV is back to being able to set strong vehicle standards.Thanks&amp;(NDEP) for!; Last year, Nevada adopted’sprogram. Today, the Biden EPA restored states’ authority to cut pollution from cars &amp; trucks under the.=.; 🚗 94% of Nevadans live in places with unhealthy air pollution, according to. Withrestored, NV is back to being able to set strong vehicle standards.Thanks&amp;(NDEP) for!; 🧐😓; They’re ONLY Safe if You Don’t Take Them	979.0	9.0	17.0	1.5
20220311	Maura Healey	SusDomain	Sincedropped out of the race, Democratic voters gave a boost to, with a slight majority supporting her at 53%, an improvement from her 46% in February.More here ⤵️; Lastly, the poll asked voters what they thought about the upcoming open Governor’s race. The poll shows Attorney Generaland former state Representativecontinue to be the early frontrunners. More here ⤵️	82.0	2.0	2.0	4.0
20220311	Richard Michael DeWine	SusDomain	Amid Rising Gas Prices, Calls Emerge To Suspend Federal, State TaxesSosince Ohio…; What’sso scared of?; Ohio Gov. Mike DeWine Declines Invite to Debate ChallengersThe governor's arrogance is his weakness; What’sso scared of?	656.0	5.0	8.0	4.0
20220311	Sonia Chang-Diaz	SusDomain	Overall, State Senatorandare under 5% each.More here ⤵️	69.0	2.0	2.0	4.0
20220312	Josh Shapiro	SusDomain	so I’m clear josh;you want to knock down the barrier (your words).Be cautious with your words. We all know papi joe is reported to be the reason our economy is in the tank. NO?REMEMBER NOV NO FOR SHAPIRO; no seriously josh-please do a great service for Pennsylvanians-get your papi joe biden to help with your campaign. It will be the absolute right thing to do= WIN,WIN for Pa. He can hit a couple of key city’s with you.; Looks more like you’re failing to cooperate in a court ordered investigation into election interference.Shouldn’t your job as AG been to have 100% investigated any and all possibilities of election fraud in our State as opposed to fighting against it?; your audience for Rhetorical pander is dwindling. Now what josh= switch parties and investigate voter fraud in PA that doesn’t exist?I predict josh will switch hit.REMEMBER IN NOV VOT NO VOTE PANDERMAN JOSH; no seriously josh-please do a great service for Pennsylvanians-get your papi joe biden to help with your campaign. It will be the absolute right thing to do= WIN,WIN for Pa. He can hit a couple of key city’s with you.; read a paper or watch the news lately; maybe get a feel for reality; or just spit pander until it buries you. You support your party decisions and obviously relate closely to your papi joe biden= only interested in selfie	3587.0	6.0	24.0	1.5
20220312	Michelle Lujan Grisham	SusDomain	Help me continue to deliver for New Mexico! Join our team - pitch in today and.	119.0	3.0	2.0	1.5
20220314	Andrew Giuliani	SusDomain	I’ll be joining the ⁦ ⁩ Show TODAY at 11:40am! Tune in here:; Please do something to defend John Paul Mac Isaac. He is a hero and deserves the support of Americans and freedom defending citizens worldwide. Can you cover the present Hunter Biden-Rus-CCP oil deals. This was from February.	29.0	10.0	1.0	4.0
20220315	Beto O'Rourke	SusDomain	How does this makes sense when YOU/DEMOCRATS have been FORCING legal Americans/U.S. residents to be part of a medical experiment, &amp; must be tested for COVID-19 to keep their jobs?; THIS IS HOW BETO'S WORLD WILL BE,,; WORKIN TOGETHER ON VIOLENCE TOWARDS WOMEN; How does this makes sense when YOU/DEMOCRATS have been FORCING legal Americans/U.S. residents to be part of a medical experiment, &amp; must be tested for COVID-19 to keep their jobs?; How does this makes sense when YOU/DEMOCRATS have been FORCING legal Americans/U.S. residents to be part of a medical experiment, &amp; must be tested for COVID-19 to keep their jobs?; MAKE INVESTMENTS IN BULLYING WOMEN?; Dallas Police confirmed they have launched an investigation into the officer who assaulted me.’s staffer has been issued a citation for assault.will not answer why there was conveniently no bodycam footage.; Another refreshing video fromSays He Will Buy Back Texans’ AR-15s As Governor of Texas; IS COMPLICIT IN VIOLENCE AGAINST WOMEN; Your a weasel	13106.0	20.0	153.0	3.0
20220315	Lee Zeldin	SusDomain	"We teach our kids right from wrong, to tell the truth, be kind to others. Those are values that 41-year old Rep. Lee Zeldin doesn’t share.; ""..think about how it must feel to know that your representative in Washington is trying to get re-elected by tricking you into voting on the wrong day so your vote won't count.""; ""The campaign survey showswith 45.5% of the vote to 44% for Hochul, with the rest undecided. The hypothetical matchup is within the poll's margin of error, which means the race is a dead heat.""; ""The campaign survey showswith 45.5% of the vote to 44% for Hochul, with the rest undecided. The hypothetical matchup is within the poll's margin of error, which means the race is a dead heat."""	2252.0	13.0	28.0	3.0
20220316	Bob Stefanowski	SusDomain	Talkingandwith:…; Talkingandwith:	36.0	4.0	1.0	4.0
