Name	Date	TweetCount
Deirdre Dickson-Gilbert	20220101	1
Anna Valencia	20220101	2
Josh Shapiro	20220101	13
Sheila Reid-Shaver	20220101	22
Stefano Forte	20220101	18
Nellie Gorbea	20220101	3
Rachel Hunt	20220101	1
Susan Hays	20220101	7
Jeff Weninger	20220101	1
Yuh-Line Niou	20220101	53
Luke Warford	20220101	12
Michelle Lujan Grisham	20220101	1
Robert Ortt	20220101	1
Charlie Crist	20220101	4
Joe Jaworski	20220101	52
Wanda James	20220101	2
Michelle Ugenti-Rita	20220101	2
Kimberly Yee	20220101	1
Goldi Gaines	20220101	4
Tony Evers	20220101	1
Elise Stefanik	20220101	5
Patrick Testin	20220101	1
Ellen Weaver	20220101	1
Dan Schwartz	20220101	1
Eric Lesser	20220101	1
Glenn Hegar	20220101	1
Kristina Karamo	20220101	1
Robert Sprague	20220101	1
Paul Gosar	20220101	1
Dan Patrick	20220101	5
Kristin Roers	20220101	1
Lisa Guzman	20220101	2
Burt Jones	20220101	2
Roxanne Persaud	20220101	3
George P. Bush	20220101	1
Jeff Jackson	20220101	2
Liz Cheney	20220101	7
James Gisondi	20220101	13
Tom Suozzi	20220101	2
Joseph Griffo	20220101	3
Tim Baxter	20220101	3
Kris Kobach	20220101	3
Bennie Thompson	20220101	17
Gillian Battino	20220101	3
Michael Lazzara	20220101	1
Joe Lombardo	20220101	1
Andrew Giuliani	20220101	2
Nakita Hemingway	20220101	3
Joe Cunningham	20220101	2
Gordana Schifanelli	20220101	6
Ben Vig	20220101	1
Sarah Stogner	20220101	1
Brooke Elizabeth Lierman	20220101	3
Russell Diamond	20220101	1
Rob Sand	20220101	11
Kevin Stitt	20220101	5
Edgar Flores	20220101	1
Beau LaFave	20220101	2
Bob Stefanowski	20220101	2
Dave Yost	20220101	1
Patrick Gallivan	20220101	1
Steve Sisolak	20220101	6
Nikki Fried	20220101	14
Alexi Giannoulias	20220101	1
Jocelyn Benson	20220101	18
Brock Weber	20220101	1
Patricia Spearman	20220101	1
Daniel McKee	20220101	1
Kevin Rinke	20220101	1
Kevin Nicholson	20220101	1
Gregg Amore	20220101	1
Brian Dahle	20220101	1
Marco Lopez	20220101	2
Eleni Kounalakis	20220101	1
Randy Feenstra	20220101	1
Alex Cornwallis	20220101	1
Skyler Johnson	20220101	4
Machaela Cavanaugh	20220101	2
Ayanna Pressley	20220101	2
Thomas Quiter	20220101	4
Jamaal Bailey	20220101	2
Maggie Toulouse Oliver	20220101	1
Joe Biden	20220101	109
Jen Jordan	20220101	3
Andrea Stewart-Cousins	20220101	1
Christian Amato	20220101	1
Scott Fitzpatrick	20220101	16
Annette Taddeo	20220101	28
Joy Hofmeister	20220101	4
Dana Nessel	20220101	4
Kim Crockett	20220101	1
Delilah Barrios	20220101	3
Greg Abbott	20220101	165
