created_at	entities	source	public_metrics	id	text	author_id
2022-01-01 11:51:31+00:00	{'mentions': [{'start': 3, 'end': 15, 'username': 'Independent', 'id': '16973333'}], 'urls': [{'start': 101, 'end': 124, 'url': 'https://t.co/vu1kjtdmM0', 'expanded_url': 'https://www.indy100.com/news/daily-mail-ghislaine-maxwell-greta-thunberg-b1985085?utm_content=Echobox&utm_medium=Social&utm_campaign=Main&utm_source=Twitter#Echobox=1640980107', 'display_url': 'indy100.com/news/daily-mai…'}], 'annotations': [{'start': 44, 'end': 50, 'probability': 0.9286, 'type': 'Person', 'normalized_text': 'Epstein'}, {'start': 63, 'end': 76, 'probability': 0.9567, 'type': 'Person', 'normalized_text': 'Greta Thunberg'}]}	Twitter Web App	{'retweet_count': 32, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1477246104173518851	RT @Independent: Daily Mail writer compares Epstein victims to Greta Thunberg in ‘2021’s worst take’ https://t.co/vu1kjtdmM0	754604381048344576
2022-01-01 12:00:19+00:00	{'mentions': [{'start': 3, 'end': 19, 'username': 'slpng_giants_fr', 'id': '823203148949061633'}, {'start': 56, 'end': 72, 'username': 'StopFundingHate', 'id': '754604381048344576'}, {'start': 79, 'end': 91, 'username': 'SFH_Germany', 'id': '1425153420776910853'}], 'urls': [{'start': 92, 'end': 115, 'url': 'https://t.co/IdAS7Puyrr', 'expanded_url': 'https://twitter.com/slpng_giants_fr/status/1477067059951513601/video/1', 'display_url': 'pic.twitter.com/IdAS7Puyrr'}]}	Twitter Web App	{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1477248318724087808	RT @slpng_giants_fr: 🍾 Happy New Year dear friends from @StopFundingHate &amp; @SFH_Germany https://t.co/IdAS7Puyrr	754604381048344576
2022-01-01 12:01:11+00:00	{'mentions': [{'start': 0, 'end': 16, 'username': 'slpng_giants_fr', 'id': '823203148949061633'}, {'start': 17, 'end': 29, 'username': 'SFH_Germany', 'id': '1425153420776910853'}]}	Twitter Web App	{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}	1477248535464747008	@slpng_giants_fr @SFH_Germany Bonne Anneé! 💪💪💪	754604381048344576
2022-01-01 12:02:09+00:00	{'mentions': [{'start': 0, 'end': 12, 'username': 'Independent', 'id': '16973333'}, {'start': 43, 'end': 49, 'username': 'BandQ', 'id': '110647540'}], 'urls': [{'start': 81, 'end': 104, 'url': 'https://t.co/mXCtJ0wnGQ', 'expanded_url': 'https://twitter.com/StopFundingHate/status/1477248777031401478/photo/1', 'display_url': 'pic.twitter.com/mXCtJ0wnGQ'}]}	Twitter Web App	{'retweet_count': 12, 'reply_count': 4, 'like_count': 46, 'quote_count': 1}	1477248777031401478	@Independent Is this really a message that @BandQ want to align themselves with? https://t.co/mXCtJ0wnGQ	754604381048344576
2022-01-01 12:02:26+00:00	{'mentions': [{'start': 3, 'end': 19, 'username': 'StopFundingHate', 'id': '754604381048344576'}, {'start': 21, 'end': 33, 'username': 'Independent', 'id': '16973333'}, {'start': 64, 'end': 70, 'username': 'BandQ', 'id': '110647540'}], 'urls': [{'start': 102, 'end': 125, 'url': 'https://t.co/mXCtJ0wnGQ', 'expanded_url': 'https://twitter.com/StopFundingHate/status/1477248777031401478/photo/1', 'display_url': 'pic.twitter.com/mXCtJ0wnGQ'}]}	Twitter Web App	{'retweet_count': 12, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1477248851924893698	RT @StopFundingHate: @Independent Is this really a message that @BandQ want to align themselves with? https://t.co/mXCtJ0wnGQ	754604381048344576
2022-01-01 14:14:34+00:00	{'mentions': [{'start': 3, 'end': 15, 'username': 'EC_magazine', 'id': '65065882'}]}	Twitter Web App	{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1477282103372955654	"RT @EC_magazine: Issue 194 of Ethical Consumer Magazine is out now!

In this issue we focus on Supermarkets, butter &amp; spreads, eggs and bis…"	754604381048344576
2022-01-01 17:22:14+00:00	{'mentions': [{'start': 3, 'end': 19, 'username': 'StopFundingHate', 'id': '754604381048344576'}], 'hashtags': [{'start': 101, 'end': 117, 'tag': 'StopFundingHate'}]}	Twitter Web App	{'retweet_count': 12, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1477329331139588102	RT @StopFundingHate: In recent weeks, dozens of people have signed up to be a committed supporter of #StopFundingHate, making a regular mon…	754604381048344576
2022-01-01 17:25:21+00:00	{'mentions': [{'start': 3, 'end': 17, 'username': 'Apoorvanand__', 'id': '1142434376669523969'}]}	Twitter Web App	{'retweet_count': 714, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1477330116367761411	RT @Apoorvanand__: Shocked to see this open Islamophobic propaganda. Know the editors are secular but cannot rationalise it.  In my small w…	754604381048344576
2022-01-01 20:20:57+00:00	{'mentions': [{'start': 3, 'end': 19, 'username': 'StopFundingHate', 'id': '754604381048344576'}]}	Twitter Web App	{'retweet_count': 65, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1477374306153816065	RT @StopFundingHate: In the past year, a wave of unfounded complaints have been made against civil society groups that have discussed conte…	754604381048344576
2022-01-02 08:18:09+00:00	{'mentions': [{'start': 3, 'end': 19, 'username': 'StopFundingHate', 'id': '754604381048344576'}], 'urls': [{'start': 105, 'end': 128, 'url': 'https://t.co/lL9z8oBpTp', 'expanded_url': 'https://bylinetimes.com/2021/09/13/poll-position-survey-on-gb-news-bias-reveals-bias/', 'display_url': 'bylinetimes.com/2021/09/13/pol…'}], 'annotations': [{'start': 21, 'end': 27, 'probability': 0.8691, 'type': 'Organization', 'normalized_text': 'GB News'}]}	Twitter for Android	{'retweet_count': 18, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1477554795741384708	RT @StopFundingHate: GB News's own polling reveals strong popular support for the advertising boycott... https://t.co/lL9z8oBpTp	754604381048344576
